asr903-120#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0/0   unassigned      YES NVRAM  down                  down
GigabitEthernet0/0/1   unassigned      YES NVRAM  down                  down
GigabitEthernet0/0/2   unassigned      YES NVRAM  down                  down
GigabitEthernet0/0/3   unassigned      YES NVRAM  down                  down
GigabitEthernet0/0/4   88.55.22.1      YES NVRAM  administratively down down
GigabitEthernet0/0/5   unassigned      YES NVRAM  up                    up
GigabitEthernet0/0/6   unassigned      YES NVRAM  up                    up
GigabitEthernet0/0/7   unassigned      YES NVRAM  up                    up
GigabitEthernet0       10.104.120.133  YES NVRAM  up                    up
BDI1                   unassigned      YES unset  down                  down
BDI2                   unassigned      YES unset  down                  down
BDI3                   unassigned      YES unset  down                  down
BDI4                   unassigned      YES unset  down                  down
BDI5                   unassigned      YES unset  down                  down
BDI6                   unassigned      YES unset  down                  down
BDI8                   unassigned      YES unset  down                  down
BDI12                  10.90.23.133    YES NVRAM  down                  down
BDI13                  60.120.80.41    YES NVRAM  up                    up
BDI14                  10.90.24.74     YES NVRAM  down                  down
BDI15                  33.44.55.2      YES NVRAM  down                  down
BDI17                  60.120.92.40    YES NVRAM  up                    up
BDI753                 12.12.12.1      YES NVRAM  up                    up
BDI754                 28.12.12.1      YES NVRAM  up                    up
BDI1223                unassigned      YES unset  down                  down
Loopback0              151.151.151.151 YES NVRAM  up                    up
Loopback1              unassigned      YES unset  up                    up
Loopback2              unassigned      YES unset  up                    up
Loopback3              unassigned      YES unset  up                    up
Loopback4              unassigned      YES unset  up                    up
Loopback5              1.1.1.9         YES NVRAM  up                    up
Loopback6              10.10.10.10     YES NVRAM  up                    up
Loopback10             unassigned      YES unset  up                    up
Loopback11             unassigned      YES unset  up                    up
Loopback22             unassigned      YES unset  up                    up
Loopback33             unassigned      YES unset  up                    up
Loopback43             unassigned      YES unset  up                    up
Loopback44             unassigned      YES unset  up                    up
Loopback55             1.1.1.9         YES NVRAM  administratively down down
Loopback66             unassigned      YES unset  up                    up
Loopback88             unassigned      YES unset  up                    up
Loopback99             unassigned      YES unset  up                    up
Loopback120            unassigned      YES unset  up                    up
Loopback121            unassigned      YES unset  up                    up
Loopback130            unassigned      YES unset  up                    up
Loopback131            unassigned      YES unset  up                    up
Loopback201            1.1.1.133       YES NVRAM  up                    up
Loopback222            unassigned      YES unset  up                    up
Loopback223            unassigned      YES unset  up                    up
Loopback777            unassigned      YES unset  up                    up
Loopback1001           10.1.1.2        YES NVRAM  up                    up
Loopback2233           unassigned      YES unset  up                    up
Loopback19902          unassigned      YES unset  up                    up
Loopback19922          unassigned      YES unset  up                    up
Port-channel5          unassigned      YES unset  down                  down
Port-channel6          unassigned      YES unset  down                  down
Tunnel1                1.1.1.133       YES TFTP   up                    down
Tunnel2                1.1.1.133       YES TFTP   up                    up
Tunnel8                1.1.1.133       YES TFTP   up                    down
Tunnel9                1.1.1.133       YES TFTP   up                    up
Tunnel10               1.1.1.133       YES TFTP   up                    up
Tunnel11               1.1.1.133       YES TFTP   up                    up
Tunnel12               1.1.1.133       YES TFTP   up                    up
Tunnel14               1.1.1.133       YES TFTP   up                    up
Tunnel24               1.1.1.133       YES TFTP   up                    down
Tunnel25               1.1.1.133       YES TFTP   up                    down
Tunnel28               1.1.1.133       YES TFTP   up                    down
Tunnel29               1.1.1.133       YES TFTP   up                    down
Tunnel30               unassigned      YES unset  up                    down
Tunnel33               1.1.1.133       YES TFTP   up                    up
Tunnel38               1.1.1.133       YES TFTP   up                    down
Tunnel39               1.1.1.133       YES TFTP   up                    down
Tunnel40               1.1.1.133       YES TFTP   up                    down
Tunnel41               1.1.1.133       YES TFTP   up                    down
Tunnel47               1.1.1.133       YES TFTP   up                    down
Tunnel71               1.1.1.133       YES TFTP   up                    down
Tunnel72               1.1.1.133       YES TFTP   up                    down
Tunnel75               1.1.1.133       YES TFTP   up                    down
Tunnel76               1.1.1.133       YES TFTP   up                    down
Tunnel351              1.1.1.133       YES TFTP   up                    up
Tunnel352              1.1.1.133       YES TFTP   up                    up
